Corruption Perceptions Index 2023: Score timeseries since 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMBARGOED UNTIL 30.01.2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country / Territory,ISO3,Region,CPI score 2023,Rank 2023,Sources 2023,Standard error 2023,CPI score 2022,Rank 2022,Sources 2022,Standard error 2022,CPI score 2021,Rank 2021,Sources 2021,Standard error 2021,CPI score 2020,Rank 2020,Sources 2020,Standard error 2020,CPI score 2019,Rank 2019,Sources 2019,Standard error 2019,CPI score 2018,Rank 2018,Sources 2018,Standard error 2018,CPI score 2017,Rank 2017,Sources 2017,Standard error 2017,CPI score 2016,Sources 2016,Standard error 2016,CPI score 2015,Sources 2015,Standard error 2015,CPI score 2014,Sources 2014,Standard error 2014,CPI Score 2013,Sources 2013,Standard error 2013,CPI Score 2012,Sources 2012,Standard error 2012
Afghanistan,AFG,AP,20,162,5,6.24,24,150,4,6.30,16,174,5,2.12,19,165,5,2.44,16,173,5,2.55,16,172,5,1.41,15,177,5,1.39,15,5,1.74,11,4,3.49,12,4,1.29,8,3,3.3,8,3,3.3
Albania,ALB,ECA,37,98,7,1.56,36,101,8,1.32,35,110,8,1.33,36,104,8,0.92,35,106,8,2.51,36,99,8,1.65,38,91,8,1.81,39,7,1.99,36,7,3.58,33,7,1.51,31,7,2.1,33,7,2
Algeria,DZA,MENA,36,104,7,2.33,33,116,6,1.67,33,117,7,1.08,36,104,7,1.48,35,106,7,2.59,35,105,6,1.21,33,112,6,2.32,34,6,2.94,36,5,1.85,36,5,2.06,36,6,2.8,34,6,3.3
Angola,AGO,SSA,33,121,7,2.81,33,116,7,2.81,29,136,7,1.53,27,142,7,2.01,26,146,7,1.82,19,165,6,1.31,19,167,5,1.28,18,4,1.68,15,5,1.8,19,6,1.71,23,7,2.8,22,7,1.8
Argentina,ARG,AME,37,98,8,2.05,38,94,7,2.33,38,96,8,2.10,42,78,8,2.32,45,66,8,3.29,40,85,8,2.7,39,85,8,2.92,36,8,1.76,32,7,1.84,34,7,2.42,34,8,2.4,35,8,2.6
Armenia,ARM,ECA,47,62,6,2.54,46,63,6,2.47,49,58,6,3.76,49,60,6,3.50,42,77,6,4.31,35,105,6,4,35,107,6,3.79,33,6,4.01,35,5,2.98,37,6,3.69,36,6,3.5,34,6,2.7
Australia,AUS,AP,75,14,9,1.52,75,13,9,0.78,73,18,9,1.63,77,11,9,1.05,77,12,9,1.32,77,13,9,1.27,77,13,9,1.4,79,8,1.27,79,8,1.5,80,8,1.31,81,8,1.5,85,8,1.1
Austria,AUT,WE/EU,71,20,8,1.37,71,22,8,1.53,74,13,8,0.83,76,15,8,0.67,77,12,8,1.57,76,14,8,1.37,75,16,8,1.17,75,7,1.36,76,7,1.76,72,7,3.49,69,8,3.2,69,8,2.4
Azerbaijan,AZE,ECA,23,154,6,2.46,23,157,6,2.40,30,128,7,5.52,30,129,7,5.00,30,126,7,7.16,25,152,6,4.09,31,122,7,5.64,30,7,5.13,29,6,3.25,29,6,3.02,28,6,3.5,27,6,2.5
Bahamas,BHS,AME,64,30,3,5.47,64,30,3,5.32,64,30,3,5.63,63,30,3,5.80,64,29,3,5.83,65,29,3,5.39,65,28,3,5.39,66,3,5.2,,,,71,3,0.99,71,3,1,71,3,1
Bahrain,BHR,MENA,42,76,6,5.33,44,69,6,6.19,42,78,6,5.20,42,78,6,5.91,42,77,6,7.65,36,99,4,1.81,36,103,4,1.81,43,5,5.96,51,5,7.86,49,5,6.11,48,5,5.4,51,5,4.1
Bangladesh,BGD,AP,24,149,8,1.51,25,147,8,1.93,26,147,8,1.74,26,146,8,1.72,26,146,8,2.62,26,149,8,2.63,28,143,8,3.19,26,7,4.13,25,7,4.3,25,7,4.23,27,7,4.1,26,7,4.1
Barbados,BRB,AME,69,24,3,3.37,65,29,4,3.28,65,29,4,3.07,64,29,4,5.47,62,30,4,6.06,68,25,3,3.12,68,25,3,3.24,61,3,6.91,,,,74,3,8.09,75,3,7.1,76,3,6.7
Belarus,BLR,ECA,37,98,7,3.34,39,91,7,3.14,41,82,8,2.35,47,63,7,3.38,45,66,7,4.20,44,70,7,3.92,44,68,7,4.12,40,7,3.93,32,6,4.37,31,5,4.04,29,5,4,31,5,3.6
Belgium,BEL,WE/EU,73,16,8,2.13,73,18,8,1.52,73,18,8,1.44,76,15,7,1.05,75,17,7,1.09,75,17,8,1.09,75,16,8,1.63,77,7,1.55,77,7,1.34,76,7,2.26,75,7,2.3,75,7,2.4
Benin,BEN,SSA,43,70,6,3.13,43,72,7,2.42,42,78,7,2.35,41,83,7,1.80,41,80,7,2.64,40,85,6,3.14,39,85,6,4.17,36,6,3.8,37,5,4.43,39,4,4.38,36,6,3.4,36,6,4.3
Bhutan,BTN,AP,68,26,4,2.18,68,25,4,2.18,68,25,4,2.24,68,24,4,2.39,68,25,4,2.76,68,25,4,2.86,67,26,5,1.83,65,5,2.12,65,4,2.14,65,4,1.81,63,4,2.6,63,3,3.6
Bolivia,BOL,AME,29,133,7,2.31,31,126,6,2.41,30,128,7,1.68,31,124,7,2.05,31,123,7,3.00,29,132,7,3.6,33,112,6,2.98,33,8,2.85,34,7,3.58,35,7,2.98,34,7,3.7,34,7,3.7
Bosnia and Herzegovina,BIH,ECA,35,108,6,1.95,34,110,7,2.18,35,110,7,1.80,35,111,7,1.87,36,101,7,1.95,38,89,7,1.86,38,91,7,2.56,39,7,1.7,38,6,1.71,39,6,1.15,42,7,2.9,42,7,2.3
Botswana,BWA,SSA,59,39,7,3.04,60,35,8,2.63,55,45,8,3.19,60,35,7,2.88,61,34,7,3.73,61,34,7,2.76,61,34,7,2.74,60,6,3.1,63,6,2.35,63,6,1.93,64,7,1.6,65,7,1.9
Brazil,BRA,AME,36,104,8,1.47,38,94,8,1.58,38,96,8,1.61,38,94,8,2.50,35,106,8,4.06,35,105,8,4.05,37,96,8,4.24,40,8,4.34,38,7,5.29,43,7,4.01,42,8,3.7,43,8,3.3
Brunei Darussalam,BRN,AP,,,,,,,,,,,,,60,35,3,5.59,60,35,3,6.12,63,31,3,6.62,62,32,3,8.72,58,3,8.85,,,,,,,60,3,10.4,55,3,9.1
Bulgaria,BGR,WE/EU,45,67,10,1.16,43,72,10,1.06,42,78,10,1.18,44,69,10,1.29,43,74,10,2.77,42,77,10,2.41,43,71,10,2.66,41,9,2.2,41,9,2.43,43,9,2.82,41,9,3.3,41,8,3.8
Burkina Faso,BFA,SSA,41,83,7,1.78,42,77,7,1.37,42,78,7,1.37,40,86,8,1.62,40,85,8,2.54,41,78,8,1.81,42,74,7,2.18,42,7,2.47,38,7,2.97,38,7,2.67,38,7,3.9,38,7,4.4
Burundi,BDI,SSA,20,162,5,1.80,17,171,5,2.33,19,169,6,3.27,19,165,6,3.74,19,165,6,4.89,17,170,5,2.65,22,157,6,3.29,20,6,1.53,21,5,2.94,20,5,3.65,21,5,2.6,19,5,2.8
Cabo Verde,CPV,SSA,64,30,3,3.05,60,35,4,4.81,58,39,4,2.97,58,41,4,3.72,58,41,4,4.30,57,45,4,4.22,55,48,4,4.19,59,3,5.72,55,4,6.16,57,4,5.94,58,4,4.8,60,4,3.8
Cambodia,KHM,AP,22,158,7,2.90,24,150,8,2.78,23,157,8,2.84,21,160,8,2.32,20,162,8,3.41,20,161,8,2.58,21,161,8,2.43,21,8,2.82,21,7,3.87,21,7,2.25,20,7,3,22,7,3.1
Cameroon,CMR,SSA,27,140,9,1.65,26,142,9,1.37,27,144,9,1.37,25,149,9,1.36,25,153,9,2.42,25,152,9,2.43,25,153,9,2.58,26,9,3.04,27,8,3.26,27,8,2.87,25,8,2.9,26,8,3.5
Canada,CAN,AME,76,12,8,1.73,74,14,8,2.12,74,13,8,2.30,77,11,8,1.77,77,12,8,2.80,81,9,8,2.16,82,8,8,1.49,82,7,2.03,83,7,1.63,81,7,2.45,81,7,2.4,84,7,2.2
Central African Republic,CAF,SSA,24,149,5,0.99,24,150,5,0.81,24,154,5,0.99,26,146,5,0.93,25,153,5,1.43,26,149,5,1.14,23,156,5,3.28,20,4,4.04,24,4,1.44,24,4,1.33,25,4,5.4,26,4,2.4
Chad,TCD,SSA,20,162,6,2.16,19,167,6,1.51,20,164,6,1.89,21,160,6,1.71,20,162,6,2.45,19,165,6,2.94,20,165,6,2.73,20,5,2.67,22,5,2.35,22,5,2.95,19,5,3.8,19,5,2.5
Chile,CHL,AME,66,29,9,1.54,67,27,9,1.34,67,27,9,1.33,67,25,9,1.23,67,26,9,2.55,67,27,9,1.88,67,26,9,2.03,66,8,2.65,70,8,2.15,73,8,1.74,71,9,1.8,72,9,2.1
China,CHN,AP,42,76,8,1.64,45,65,9,1.81,45,66,9,1.77,42,78,8,1.63,41,80,8,2.10,39,87,8,2.02,41,77,9,1.96,40,8,2.39,37,8,2.34,36,8,2.17,40,9,2.9,39,9,2.9
Colombia,COL,AME,40,87,8,1.42,39,91,8,1.38,39,87,8,1.45,39,92,8,1.59,37,96,8,2.49,36,99,8,2.51,37,96,8,2.77,37,8,2.27,37,7,1.94,37,7,1.68,36,7,2,36,7,2.6
Comoros,COM,SSA,20,162,4,5.51,19,167,4,5.48,20,164,4,5.83,21,160,4,5.75,25,153,4,8.90,27,144,4,9,27,148,4,8.87,24,3,12.81,26,3,8.76,26,3,8.75,28,3,7.5,28,3,7.5
