Country,Month,Year,Events,Fatalities
Iraq,January,2016,167,717
Iraq,February,2016,168,989
Iraq,March,2016,158,671
Iraq,April,2016,148,764
Iraq,May,2016,134,887
Iraq,June,2016,138,511
Iraq,July,2016,152,1211
Iraq,August,2016,156,779
Iraq,September,2016,173,440
Iraq,October,2016,154,1271
Iraq,November,2016,224,1740
Iraq,December,2016,205,650
Iraq,January,2017,149,1080
Iraq,February,2017,112,599
Iraq,March,2017,153,1748
Iraq,April,2017,151,1532
Iraq,May,2017,105,862
Iraq,June,2017,64,627
Iraq,July,2017,71,176
Iraq,August,2017,99,229
Iraq,September,2017,76,182
Iraq,October,2017,75,98
Iraq,November,2017,74,151
Iraq,December,2017,83,87
Iraq,January,2018,81,112
Iraq,February,2018,71,54
Iraq,March,2018,75,97
Iraq,April,2018,61,70
Iraq,May,2018,59,64
Iraq,June,2018,49,87
Iraq,July,2018,52,64
Iraq,August,2018,52,54
Iraq,September,2018,46,43
Iraq,October,2018,47,64
Iraq,November,2018,34,47
Iraq,December,2018,21,20
Iraq,January,2019,27,29
Iraq,February,2019,24,33
Iraq,March,2019,16,15
Iraq,April,2019,36,36
Iraq,May,2019,30,62
Iraq,June,2019,48,49
Iraq,July,2019,31,32
Iraq,August,2019,23,21
Iraq,September,2019,38,30
Iraq,October,2019,40,66
Iraq,November,2019,45,35
Iraq,December,2019,81,112
Iraq,January,2020,89,66
Iraq,February,2020,78,53
Iraq,March,2020,45,35
Iraq,April,2020,35,25
Iraq,May,2020,37,25
Iraq,June,2020,39,36
Iraq,July,2020,59,32
Iraq,August,2020,68,49
Iraq,September,2020,68,43
Iraq,October,2020,67,61
Iraq,November,2020,70,36
Iraq,December,2020,62,48
Iraq,January,2021,44,57
Iraq,February,2021,57,29
Iraq,March,2021,67,31
Iraq,April,2021,90,41
Iraq,May,2021,103,48
Iraq,June,2021,73,58
Iraq,July,2021,80,83
Iraq,August,2021,80,55
Iraq,September,2021,57,34
Iraq,October,2021,55,41
Iraq,November,2021,44,13
Iraq,December,2021,55,29
Iraq,January,2022,45,40
Iraq,February,2022,42,26
Iraq,March,2022,45,24
Iraq,April,2022,54,30
Iraq,May,2022,61,48
Iraq,June,2022,51,37
Iraq,July,2022,57,52
Iraq,August,2022,71,39
Iraq,September,2022,84,40
Iraq,October,2022,64,41
Iraq,November,2022,44,30
Iraq,December,2022,65,56
Iraq,January,2023,49,30
Iraq,February,2023,56,48
Iraq,March,2023,50,38
Iraq,April,2023,85,52
Iraq,May,2023,49,32
Iraq,June,2023,33,22
Iraq,July,2023,40,22
Iraq,August,2023,49,47
Iraq,September,2023,34,31
Iraq,October,2023,26,17
Iraq,November,2023,34,25
Iraq,December,2023,39,23
Iraq,January,2024,47,33
Iraq,February,2024,34,26
Iraq,March,2024,40,24
Iraq,April,2024,35,28
Iraq,May,2024,28,23
Iraq,June,2024,32,13
Iraq,July,2024,56,26
Iraq,August,2024,47,31
Iraq,September,2024,35,25
Iraq,October,2024,18,12
Iraq,November,2024,18,12
Iraq,December,2024,22,17
Iraq,January,2025,38,24
Iraq,February,2025,41,27
Iraq,March,2025,30,14
Iraq,April,2025,28,16
Iraq,May,2025,31,15
Iraq,June,2025,28,21
Iraq,July,2025,27,14
Iraq,August,2025,14,11
Iraq,September,2025,24,10
Iraq,October,2025,24,16
Iraq,November,2025,25,11
Iraq,December,2025,23,11
Iraq,January,2026,24,12
Iraq,February,2026,25,13
Iraq,March,2026,61,13
Iraq,April,2026,43,21
Iraq,May,2026,23,10
Iraq,June,2026,12,5
