`Country,Month,Year,Events
Iraq,January,2016,17
Iraq,February,2016,12
Iraq,March,2016,18
Iraq,April,2016,26
Iraq,May,2016,8
Iraq,June,2016,2
Iraq,July,2016,11
Iraq,August,2016,9
Iraq,September,2016,16
Iraq,October,2016,11
Iraq,November,2016,1
Iraq,December,2016,12
Iraq,January,2017,7
Iraq,February,2017,2
Iraq,March,2017,3
Iraq,April,2017,0
Iraq,May,2017,4
Iraq,June,2017,1
Iraq,July,2017,1
Iraq,August,2017,4
Iraq,September,2017,3
Iraq,October,2017,4
Iraq,November,2017,3
Iraq,December,2017,19
Iraq,January,2018,25
Iraq,February,2018,34
Iraq,March,2018,71
Iraq,April,2018,52
Iraq,May,2018,36
Iraq,June,2018,29
Iraq,July,2018,142
Iraq,August,2018,87
Iraq,September,2018,48
Iraq,October,2018,8
Iraq,November,2018,18
Iraq,December,2018,45
Iraq,January,2019,22
Iraq,February,2019,50
Iraq,March,2019,55
Iraq,April,2019,30
Iraq,May,2019,29
Iraq,June,2019,26
Iraq,July,2019,42
Iraq,August,2019,31
Iraq,September,2019,37
Iraq,October,2019,194
Iraq,November,2019,375
Iraq,December,2019,325
Iraq,January,2020,267
Iraq,February,2020,231
Iraq,March,2020,90
Iraq,April,2020,42
Iraq,May,2020,129
Iraq,June,2020,145
Iraq,July,2020,287
Iraq,August,2020,231
Iraq,September,2020,232
Iraq,October,2020,141
Iraq,November,2020,206
Iraq,December,2020,224
Iraq,January,2021,189
Iraq,February,2021,148
Iraq,March,2021,185
Iraq,April,2021,216
Iraq,May,2021,192
Iraq,June,2021,149
Iraq,July,2021,97
Iraq,August,2021,83
Iraq,September,2021,70
Iraq,October,2021,119
Iraq,November,2021,166
Iraq,December,2021,137
Iraq,January,2022,101
Iraq,February,2022,62
Iraq,March,2022,104
Iraq,April,2022,63
Iraq,May,2022,111
Iraq,June,2022,104
Iraq,July,2022,100
Iraq,August,2022,128
Iraq,September,2022,57
Iraq,October,2022,87
Iraq,November,2022,97
Iraq,December,2022,112
Iraq,January,2023,91
Iraq,February,2023,79
Iraq,March,2023,77
Iraq,April,2023,38
Iraq,May,2023,108
Iraq,June,2023,71
Iraq,July,2023,88
Iraq,August,2023,42
Iraq,September,2023,39
Iraq,October,2023,129
Iraq,November,2023,57
Iraq,December,2023,65
Iraq,January,2024,95
Iraq,February,2024,45
Iraq,March,2024,57
Iraq,April,2024,63
Iraq,May,2024,81
Iraq,June,2024,88
Iraq,July,2024,105
Iraq,August,2024,106
Iraq,September,2024,117
Iraq,October,2024,90
Iraq,November,2024,59
Iraq,December,2024,65
Iraq,January,2025,93
Iraq,February,2025,115
Iraq,March,2025,72
Iraq,April,2025,131
Iraq,May,2025,134
Iraq,June,2025,118
Iraq,July,2025,214
Iraq,August,2025,105
Iraq,September,2025,130
Iraq,October,2025,120
Iraq,November,2025,61
Iraq,December,2025,87
Iraq,January,2026,239
Iraq,February,2026,104
Iraq,March,2026,89
Iraq,April,2026,141
Iraq,May,2026,103
Iraq,June,2026,75
